,precision,recall,f1,accuracy
0,0.7933579335793358,0.6656346749226006,0.7239057239057238,0.7847769028871391
1,0.8059701492537313,0.6687306501547987,0.7309644670050762,0.7913385826771654
2,0.8608058608058609,0.673352435530086,0.7556270096463024,0.800524934383202
3,0.7593984962406015,0.6733333333333333,0.7137809187279153,0.7871222076215506
4,0.7519685039370079,0.6282894736842105,0.6845878136200716,0.7687253613666228
5,0.8537549407114624,0.6506024096385542,0.7384615384615384,0.7989487516425755
6,0.8197879858657244,0.6783625730994152,0.7424000000000001,0.7884362680683311
7,0.8525179856115108,0.713855421686747,0.777049180327869,0.8212877792378449
8,0.7864406779661017,0.6803519061583577,0.729559748427673,0.7739816031537451
9,0.8770491803278688,0.6584615384615384,0.7521968365553603,0.8147174770039421
