,precision,recall,f1,accuracy
0,0.7857142857142857,0.7151702786377709,0.7487844408427877,0.7965879265091863
1,0.8028673835125448,0.6934984520123839,0.7441860465116279,0.7979002624671916
2,0.8362989323843416,0.673352435530086,0.7460317460317459,0.7900262467191601
3,0.7509025270758123,0.6933333333333334,0.7209705372616985,0.7884362680683311
4,0.7803030303030303,0.6776315789473685,0.7253521126760564,0.7950065703022339
5,0.8164794007490637,0.6566265060240963,0.7278797996661102,0.78580814717477
6,0.8387096774193549,0.6842105263157895,0.7536231884057972,0.7989487516425755
7,0.8205980066445183,0.7439759036144579,0.7804107424960507,0.8173455978975033
8,0.7687296416938111,0.6920821114369502,0.7283950617283951,0.7687253613666228
9,0.8503937007874016,0.6646153846153846,0.7461139896373057,0.8068331143232589
