,precision,recall,f1,accuracy
0,0.8068965517241379,0.7244582043343654,0.7634584013050572,0.8097112860892388
1,0.7797202797202797,0.6904024767801857,0.7323481116584566,0.7860892388451444
2,0.8285714285714286,0.664756446991404,0.7376788553259142,0.7834645669291339
3,0.7455830388692579,0.7033333333333334,0.7238421955403088,0.7884362680683311
4,0.7394366197183099,0.6907894736842105,0.7142857142857143,0.7792378449408672
5,0.8383458646616542,0.6716867469879518,0.7458193979933111,0.8002628120893561
6,0.8413793103448276,0.7134502923976608,0.7721518987341772,0.8107752956636005
7,0.8193548387096774,0.7650602409638554,0.7912772585669782,0.823915900131406
8,0.7752442996742671,0.6979472140762464,0.7345679012345679,0.7739816031537451
9,0.8416988416988417,0.6707692307692308,0.7465753424657534,0.8055190538764783
